N,time,numpy time,sum
1,9.059906005859375e-06,1.5974044799804688e-05,0.0
2,1.8835067749023438e-05,5.3882598876953125e-05,20.0
3,5.507469177246094e-05,4.76837158203125e-06,450.0
4,0.00011992454528808594,4.291534423828125e-06,3680.0
5,0.0002300739288330078,5.0067901611328125e-06,18250.0
6,0.0003867149353027344,5.245208740234375e-06,66780.0
7,0.0006279945373535156,5.9604644775390625e-06,198940.0
8,0.000782012939453125,5.0067901611328125e-06,510720.0
9,0.001085042953491211,5.9604644775390625e-06,1171260.0
10,0.0014300346374511719,4.76837158203125e-06,2458500.0
11,0.0018432140350341797,8.106231689453125e-06,4804910.0
12,0.0023679733276367188,1.0967254638671875e-05,8854560.0
13,0.003131866455078125,3.0040740966796875e-05,15532790.0
14,0.003720998764038086,2.5033950805664062e-05,26129740.0
15,0.005305051803588867,4.100799560546875e-05,42399000.0
16,0.005234956741333008,2.09808349609375e-05,66672640.0
17,0.00618290901184082,7.867813110351562e-06,101993880.0
18,0.0071408748626708984,9.059906005859375e-06,152268660.0
19,0.00857400894165039,7.867813110351562e-06,222437370.0
20,0.011170148849487305,3.814697265625e-05,318668000.0
21,0.01102900505065918,3.0994415283203125e-05,448571970.0
22,0.01637721061706543,2.7894973754882812e-05,621443900.0
23,0.01538991928100586,4.00543212890625e-05,848526580.0
24,0.017141103744506836,4.8160552978515625e-05,1143302400.0
25,0.017570018768310547,1.7881393432617188e-05,1521812500.0
26,0.01923084259033203,3.409385681152344e-05,2003004900.0
27,0.021892070770263672,2.09808349609375e-05,2609112870.0
28,0.02447795867919922,2.002716064453125e-05,3366064800.0
29,0.027179956436157227,3.314018249511719e-05,4303926830.0
30,0.029262304306030273,2.7894973754882812e-05,5457379500.0
31,0.03304409980773926,3.719329833984375e-05,6866229680.0
32,0.03719520568847656,3.0994415283203125e-05,8575959040.0
33,0.039978981018066406,4.935264587402344e-05,10638310320.0
34,0.04228806495666504,3.504753112792969e-05,13111912660.0
35,0.04765796661376953,3.4809112548828125e-05,16062947250.0
36,0.05415487289428711,3.409385681152344e-05,19565854560.0
37,0.05644083023071289,3.504753112792969e-05,23704084410.0
38,0.06232714653015137,5.507469177246094e-05,28570890140.0
39,0.06570982933044434,3.886222839355469e-05,34270168140.0
40,0.06963515281677246,5.7697296142578125e-05,40917344000.0
41,0.08078789710998535,5.412101745605469e-05,48640306540.0
42,0.08368873596191406,4.410743713378906e-05,57580390980.0
43,0.09106707572937012,4.9114227294921875e-05,67893412510.0
44,0.09120583534240723,3.886222839355469e-05,79750751520.0
45,0.1028909683227539,6.794929504394531e-05,93340491750.0
46,0.10856342315673828,5.125999450683594e-05,108868612620.0
47,0.11521172523498535,4.506111145019531e-05,126560237000.0
48,0.12046122550964355,4.363059997558594e-05,146660935680.0
49,0.13211393356323242,4.38690185546875e-05,169438089800.0
50,0.14146828651428223,4.458427429199219e-05,195182312500.0
51,0.1474440097808838,5.817413330078125e-05,224208931050.0
52,0.15116596221923828,4.792213439941406e-05,256859530720.0
53,0.16545891761779785,4.8160552978515625e-05,293503561650.0
54,0.18181514739990234,5.1021575927734375e-05,334540009980.0
55,0.18944263458251953,5.2928924560546875e-05,380399134500.0
56,0.19249725341796875,5.91278076171875e-05,431544270080.0
57,0.20632100105285645,5.507469177246094e-05,488473699140.0
58,0.2169501781463623,5.2928924560546875e-05,551722592420.0
59,0.22928214073181152,5.602836608886719e-05,621865020310.0
60,0.25083398818969727,6.389617919921875e-05,699516036000.0
61,0.2579770088195801,6.079673767089844e-05,785333831710.0
62,0.2734971046447754,5.793571472167969e-05,880021969260.0
63,0.27927088737487793,6.198883056640625e-05,984331686240.0
64,0.2815558910369873,5.507469177246094e-05,1099064279040.0
65,0.3038017749786377,0.00017404556274414062,1225073564000.0
66,0.3281521797180176,9.298324584960938e-05,1363268417940.0
67,0.3508639335632324,7.605552673339844e-05,1514615399330.0
68,0.3601949214935303,0.0001537799835205078,1680141451360.0
69,0.36734795570373535,0.00010204315185546875,1860936688170.0
70,0.388416051864624,0.00010180473327636719,2058157265500.0
71,0.402724027633667,9.584426879882812e-05,2273028337020.0
72,0.4116020202636719,9.703636169433594e-05,2506847097600.0
73,0.44026803970336914,9.322166442871094e-05,2760985914780.0
74,0.47231292724609375,0.00010013580322265625,3036895549700.0
75,0.471315860748291,0.00010013580322265625,3336108468750.0
76,0.4851841926574707,9.703636169433594e-05,3660242247200.0
77,0.5695748329162598,0.00010824203491210938,4011003066070.0
78,0.5674152374267578,0.00011301040649414062,4390189303500.0
79,0.5465199947357178,0.00011301040649414062,4799695221880.0
80,0.5856008529663086,0.00010395050048828125,5241514752000.0
81,0.6021931171417236,0.00010704994201660156,5717745375480.0
82,0.5991921424865723,0.00010585784912109375,6230592106740.0
83,0.6648321151733398,0.00010919570922851562,6782371575770.0
84,0.6726820468902588,0.00010776519775390625,7375516212960.0
85,0.6928219795227051,0.00011706352233886719,8012578537250.0
86,0.6866731643676758,0.00011801719665527344,8696235548860.0
87,0.7592689990997314,0.00012111663818359375,9429293227860.0
88,0.7708230018615723,0.00011801719665527344,10214691139840.0
89,0.7923457622528076,0.0001289844512939453,11055507149940.0
90,0.8024320602416992,0.00013875961303710938,11954962246500.0
91,0.8537228107452393,0.00012803077697753906,12916425475590.0
92,0.881260871887207,0.00016188621520996094,13943418987680.0
93,0.8974199295043945,0.0001380443572998047,15039623197710.0
94,0.90683913230896,0.00012993812561035156,16208882059820.0
95,0.96356201171875,0.00013303756713867188,17455208458000.0
96,1.0036399364471436,0.0001239776611328125,18782789713920.0
97,1.0293049812316895,0.0001468658447265625,20195993213200.0
98,1.0154051780700684,0.0001437664031982422,21699372151380.0
99,1.0947539806365967,0.0002079010009765625,23297671400850.0
100,1.1395540237426758,0.00013685226440429688,24995833500000.0
